Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Abacoproeces,Abacoproeces saltuum
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax carinatus
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax ovalis
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax parallelepipedus
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax parallelus
Animalia,Arthropoda,Insecta,Coleoptera,Melandryidae,Abdera,Abdera affinis
Animalia,Arthropoda,Insecta,Coleoptera,Melandryidae,Abdera,Abdera flexuosa
Animalia,Arthropoda,Insecta,Coleoptera,Melandryidae,Abdera,Abdera triguttata
Animalia,Arthropoda,Insecta,Hemiptera,Diaspididae,Abgrallaspis,Abgrallaspis cyanophylli
Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia aenea
Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia candens
Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia fasciata
Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia lonicerae
Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia sericea
Animalia,Cnidaria,Hydrozoa,Conica,Sertulariidae,Abietinaria,Abietinaria abietina
Animalia,Cnidaria,Hydrozoa,Conica,Sertulariidae,Abietinaria,Abietinaria filicula
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia longistyla
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia monilis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia phatta
Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,Ablattaria,Ablattaria laevigata
Animalia,Arthropoda,Insecta,Hymenoptera,Pteromalidae,Ablaxia,Ablaxia megachlora
Animalia,Arthropoda,Insecta,Hymenoptera,Pteromalidae,Ablaxia,Ablaxia parviclava
Animalia,Arthropoda,Insecta,Hymenoptera,Pteromalidae,Ablaxia,Ablaxia squamifera
Animalia,Nematoda,Secernentea,Rhabditida,Rhabditidae,Ablechroiulus,Ablechroiulus ciliatus
Animalia,Nematoda,Secernentea,Rhabditida,Rhabditidae,Ablechroiulus,Ablechroiulus lacustris
Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Abludomelita obtusata
Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra alba
Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra nitida
Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra prismatica
Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra tenuis
Animalia,Arthropoda,Insecta,Diptera,Conopidae,Abrachyglossum,Abrachyglossum capitatum
Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Abraeus,Abraeus granulum
Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Abraeus,Abraeus parvulus
Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Abraeus,Abraeus perpusillus
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,Abramis brama
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,Abramis leuckartii
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Abraxas,Abraxas grossulariata
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Abraxas,Abraxas sylvata
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Abrostola,Abrostola tripartita
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Abrostola,Abrostola triplasia
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Absyrtus,Absyrtus vernalis
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Absyrtus,Absyrtus vicinator
Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Abyssoninoe hibernica
Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,Abyssoninoe scopa
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Acaenitus,Acaenitus dubitator
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus brevitarsus
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus calycophthirus
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus essigi
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus longisetosus
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus phloeocoptes
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus plicans
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus rudis
Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus stenaspis
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalles,Acalles dubius
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalles,Acalles fallax
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalles,Acalles lemur
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalles,Acalles misellus
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalles,Acalles parvulus
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalles,Acalles ptinoides
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Winterschmidtiidae,Acalvolia,Acalvolia squamata
Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta carinata
Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta gracilis
Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta marginata
Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta musci
Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta nigrina
Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta parvula
Animalia,Arthropoda,Insecta,Hemiptera,Tingidae,Acalypta,Acalypta platycheila
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Acalyptus,Acalyptus carpini
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Acampsis,Acampsis alternipes
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Acamptocladius,Acamptocladius submontanus
Animalia,Arthropoda,Insecta,Hymenoptera,Diapriidae,Acanosema,Acanosema nervosa
Animalia,Mollusca,Gastropoda,Stylommatophora,Valloniidae,Acanthinula,Acanthinula aculeata
Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Acanthiophilus,Acanthiophilus helianthi
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis cabaret
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis flammea
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis hornemanni
Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia aculeata
Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia echinata
Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia paucicostata
Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia tuberculata
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus,Acanthocephalus anguillae
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus,Acanthocephalus clavula
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus,Acanthocephalus lucii
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus,Acanthocephalus ranae
Animalia,Nematoda,Secernentea,Spirurida,Onchocercidae,Acanthocheilonema,Acanthocheilonema dracunculoides
